Rank,Area,Value
1,Ghana,502.73460000000006
2,Lao People's Democratic Republic,502.0338
3,Guyana,464.933
4,Saudi Arabia,458.5653
5,Côte d'Ivoire,453.3003
6,Morocco,448.4484000000001
7,Egypt,440.8911000000001
8,Algeria,430.7823
9,Serbia,425.8956
10,Tunisia,424.2618000000001
11,Guinea,424.0917
12,Bhutan,421.2499
13,Türkiye,418.548
14,Philippines,418.3366
15,Sri Lanka,416.5687
16,Nepal,408.5011
17,Cameroon,405.8829
18,Viet Nam,403.3468
19,Mexico,401.8375
20,Thailand,401.4876
21,Azerbaijan,401.3631
22,Cambodia,399.6699
23,Dominican Republic,396.8055
24,Bosnia and Herzegovina,396.4896
25,Myanmar,394.1919
26,Paraguay,391.5355
27,North Macedonia,390.078
28,El Salvador,389.9035
29,Guatemala,389.691
30,Colombia,388.824
31,Nicaragua,387.532
32,Bangladesh,385.3026
33,Indonesia,384.0576
34,Mauritania,383.2272
35,Qatar,381.3804
36,Iraq,379.3635
37,Senegal,379.2258000000001
38,Oman,377.9946000000001
39,Peru,374.2465
40,"China, mainland",372.7125
41,Uzbekistan,372.5028
42,Sierra Leone,372.2193
43,China,370.1175
44,Ireland,368.4174
45,Kuwait,368.0235
46,Bahrain,367.1568
47,Malawi,367.0282
48,Panama,364.9305
49,Burkina Faso,364.6296
50,Jamaica,364.531
51,Belgium,363.012
52,Barbados,362.7375
53,Georgia,362.4993
54,Uruguay,360.859
55,Israel,360.243
56,India,357.82959999999997
57,Poland,357.045
58,Iran (Islamic Republic of),356.1894
59,Brazil,355.9035
60,Gambia,355.3956
61,Niger,354.99870000000004
62,Chile,354.892
63,Romania,354.705
64,Costa Rica,353.056
65,Mauritius,352.24420000000003
66,Armenia,349.55550000000005
67,Ethiopia,349.4337
68,Djibouti,348.5405
69,Norway,348.387
70,Saint Vincent and the Grenadines,348.3045
71,Venezuela (Bolivarian Republic of),347.55649999999997
72,Democratic Republic of the Congo,346.55850000000004
73,Gabon,346.24260000000004
74,Montenegro,344.85360000000003
75,Nigeria,344.76030000000003
76,Russian Federation,344.331
77,Malta,343.3872
78,Lebanon,341.95770000000005
79,Rwanda,341.8184
80,Cabo Verde,340.9776
81,Malaysia,340.10909999999996
82,Trinidad and Tobago,339.4645
83,Eswatini,338.9309
84,Albania,338.59020000000004
85,Slovenia,335.517
86,Republic of Moldova,334.6512
87,Suriname,333.166
88,United Republic of Tanzania,332.2781
89,Finland,331.7028
90,Belize,331.3385
91,Honduras,331.2195
92,Italy,330.2052
93,Kazakhstan,329.3541
94,Hungary,329.238
95,Argentina,329.19649999999996
96,Iceland,328.7154
97,United Kingdom of Great Britain and Northern Ireland,328.1304
98,Denmark,327.8964
99,Afghanistan,327.0947
100,Croatia,327.03060000000005
101,United Arab Emirates,326.673
102,Namibia,326.03340000000003
103,Maldives,326.03229999999996
104,Angola,325.71000000000004
105,Turkmenistan,322.80120000000005
106,Libya,322.4205
107,Kyrgyzstan,322.23420000000004
108,Republic of Korea,321.855
109,Botswana,321.0977
110,Tajikistan,319.5288
111,Belarus,318.8718
112,Ukraine,318.084
113,Bolivia (Plurinational State of),316.2595
114,Uganda,314.7452
115,Seychelles,312.4506
116,Luxembourg,311.1108
117,Mozambique,309.9019
118,Comoros,309.8865
119,Guinea-Bissau,309.8574
120,Netherlands (Kingdom of the),309.6912
121,Madagascar,307.153
122,Liberia,303.87960000000004
123,Saint Kitts and Nevis,302.7445
124,Portugal,302.6322
125,Germany,302.0238
126,Switzerland,300.9708
127,Greece,298.73220000000003
128,Sweden,297.88980000000004
129,Saint Lucia,297.8485
130,Lithuania,296.6262
131,Austria,296.5014
132,Timor-Leste,294.8741
133,Jordan,293.64930000000004
134,Pakistan,292.7576
135,Sao Tome and Principe,291.5838
136,France,290.6748
137,Latvia,290.5422
138,Grenada,288.609
139,Haiti,287.5125
140,Kenya,287.0945
141,Zambia,286.6171
142,Congo,284.86080000000004
143,Estonia,283.03860000000003
144,Ecuador,281.877
145,South Africa,277.52340000000004
146,Spain,277.39140000000003
147,Cyprus,277.04040000000003
148,Syrian Arab Republic,273.0024
149,Czechia,267.345
150,Tuvalu,265.34420000000006
151,United States of America,259.19620000000003
152,Bulgaria,258.25800000000004
153,"China, Taiwan Province of",254.82
154,"China, Hong Kong SAR",254.145
155,Slovakia,253.851
156,New Zealand,252.17820000000003
157,Zimbabwe,251.0508
158,Antigua and Barbuda,250.308
159,Fiji,243.4724
160,Samoa,241.72080000000005
161,Canada,241.22780000000003
162,Yemen,239.92200000000005
163,Lesotho,237.6143
164,Mongolia,234.4125
165,Kiribati,233.8096
166,"China, Macao SAR",232.8975
167,Vanuatu,229.03040000000004
168,Australia,228.78680000000003
169,Bahamas,226.4145
170,Nauru,225.33580000000003
171,New Caledonia,213.1906
172,French Polynesia,213.09200000000004
173,Solomon Islands,210.3602
174,Tonga,209.9774
175,Marshall Islands,195.39040000000003
176,Papua New Guinea,194.4508
177,Micronesia (Federated States of),171.40160000000003
