Rank,Area,Value
1,Austria,139.6512
2,Italy,129.4566
3,Belgium,123.7392
4,Germany,122.928
5,Czechia,121.52400000000002
6,Spain,117.7488
7,Brazil,116.977
8,Greece,116.532
9,Switzerland,116.064
10,Ireland,113.9424
11,Argentina,113.8915
12,Israel,113.6304
13,Poland,113.4432
14,France,113.295
15,Latvia,111.774
16,Bulgaria,110.0736
17,Netherlands (Kingdom of the),109.1454
18,Portugal,108.9582
19,Montenegro,108.3498
20,Croatia,107.1564
21,Iceland,106.8756
22,Hungary,106.548
23,Slovakia,105.7524
24,Romania,104.8164
25,Denmark,104.0832
26,United Kingdom of Great Britain and Northern Ireland,102.2814
27,Türkiye,102.0006
28,Estonia,101.9616
29,Bahrain,101.03130000000002
30,Uruguay,100.7675
31,Luxembourg,99.8946
32,Dominican Republic,99.263
33,Sweden,98.6856
34,United Arab Emirates,98.2935
35,Lithuania,97.032
36,Republic of Korea,96.4125
37,United States of America,96.2974
38,Russian Federation,95.0976
39,"China, Taiwan Province of",94.9725
40,Malta,94.2318
41,Belarus,91.4316
42,Marshall Islands,90.93240000000002
43,Ecuador,90.9245
44,Canada,90.3756
45,Mexico,90.3125
46,Saudi Arabia,90.2178
47,Kazakhstan,90.03150000000001
48,"China, Macao SAR",89.76
49,Saint Kitts and Nevis,88.842
50,Norway,88.6782
51,Finland,88.5222
52,Costa Rica,88.417
53,Colombia,88.213
54,Grenada,88.145
55,Bahamas,88.0175
56,North Macedonia,87.48479999999999
57,Armenia,85.8519
58,Albania,85.61280000000001
59,Libya,85.4145
60,Panama,85.27199999999999
61,Trinidad and Tobago,85.0
62,Serbia,84.2946
63,Uzbekistan,83.92410000000001
64,Paraguay,83.8015
65,Australia,83.72300000000001
66,Cyprus,83.3664
67,Qatar,83.06550000000001
68,Kuwait,82.5309
69,Slovenia,82.3602
70,Malaysia,81.47279999999999
71,Venezuela (Bolivarian Republic of),79.79799999999999
72,Algeria,79.7121
73,Chile,79.0075
74,Barbados,78.77799999999999
75,Honduras,78.4295
76,Mauritius,78.0395
77,Saint Vincent and the Grenadines,77.0695
78,Mongolia,77.0175
79,Tunisia,76.5288
80,Kiribati,75.42320000000001
81,"China, Hong Kong SAR",75.2325
82,Belize,75.072
83,Antigua and Barbuda,74.5705
84,Oman,73.7748
85,China,73.6575
86,"China, mainland",73.30499999999999
87,Micronesia (Federated States of),72.95240000000001
88,Guinea-Bissau,72.6327
89,Bosnia and Herzegovina,72.12660000000001
90,South Africa,71.8641
91,Lebanon,71.70930000000001
92,Bhutan,71.1061
93,Jordan,70.80210000000001
94,Pakistan,70.6994
95,Azerbaijan,70.632
96,Georgia,70.6239
97,Indonesia,69.4793
98,Nauru,67.96440000000001
99,Iran (Islamic Republic of),67.59450000000001
100,Tajikistan,67.2624
101,Republic of Moldova,66.9318
102,Cabo Verde,65.96640000000001
103,Zimbabwe,65.85810000000001
104,Jamaica,65.79849999999999
105,Kyrgyzstan,65.7963
106,Guatemala,65.705
107,French Polynesia,65.5458
108,New Caledonia,64.68740000000001
109,Vanuatu,64.3104
110,Viet Nam,64.0179
111,Saint Lucia,62.203
112,Morocco,61.83540000000001
113,Turkmenistan,61.68150000000001
114,Tuvalu,61.62500000000001
115,El Salvador,61.523
116,Senegal,61.36560000000001
117,Seychelles,60.0446
118,Mauritania,59.8509
119,Maldives,59.511
120,Guyana,59.2195
121,Tonga,58.638000000000005
122,Nicaragua,58.190999999999995
123,Ukraine,58.141200000000005
124,India,57.8842
125,Suriname,57.8085
126,Guinea,57.655800000000006
127,Nepal,57.6269
128,Samoa,56.666
129,New Zealand,55.45380000000001
130,Burkina Faso,54.3753
131,Djibouti,54.184900000000006
132,Sao Tome and Principe,54.156600000000005
133,Timor-Leste,54.032999999999994
134,Peru,54.0175
135,Philippines,53.9832
136,Nigeria,52.99830000000001
137,Myanmar,52.5224
138,Botswana,52.1521
139,Syrian Arab Republic,52.06680000000001
140,Iraq,51.621300000000005
141,Cameroon,51.6213
142,Niger,49.6368
143,Fiji,49.38700000000001
144,Thailand,49.1443
145,Comoros,48.6178
146,Egypt,47.4741
147,Gabon,47.2392
148,United Republic of Tanzania,46.9007
149,Bolivia (Plurinational State of),46.7245
150,Eswatini,45.5917
151,Gambia,44.4609
152,Côte d'Ivoire,43.3674
153,Namibia,43.274
154,Uganda,42.6888
155,Yemen,42.533100000000005
156,Bangladesh,41.9814
157,Congo,41.0265
158,Afghanistan,40.2633
159,Angola,39.6781
160,Zambia,39.6011
161,Malawi,39.3624
162,Lao People's Democratic Republic,38.6614
163,Liberia,38.12670000000001
164,Sri Lanka,36.943299999999994
165,Ethiopia,36.113
166,Papua New Guinea,35.89040000000001
167,Ghana,35.2917
168,Lesotho,34.734700000000004
169,Kenya,34.573
170,Mozambique,34.1957
171,Sierra Leone,33.7608
172,Cambodia,33.3743
173,Haiti,32.8695
174,Rwanda,31.6316
175,Solomon Islands,31.285200000000003
176,Madagascar,19.5118
177,Democratic Republic of the Congo,17.2206
